IDCLI,CODBAI,NOMEBAI,CODCID,NOMECID,CODUF,UF,PESOBRUTO,DEVOLUCAO,RECENCIA,FREQUENCIA,MONETARY,,,
117,308,NOVA BRASILIA,1904,CACHOEIRO DE ITAPEMIRIM,16,ES,"265250,2835","685,83",7,840,"439984,16",,,
118,1675,BARRAMARES,2107,VILA VELHA,16,ES,"3163,995","1516,85",1048,52,"11781,22",,,
119,7320,JARDIM ALAH,1912,CARIACICA,16,ES,"100474,0117","4519,55",7,559,"245291,74",,,
120,1575,MATA DA SERRA,2091,SERRA,16,ES,"11549,4698",0,14,154,"40225,61",,,
122,1686,GRANDE VITORIA,2111,VITORIA,16,ES,"9731,862",0,7,110,"33849,94",,,
123,1731,NOVA PALESTINA,2111,VITORIA,16,ES,1100,0,1114,18,"6470,36",,,
124,13346,ITAPARICA,2107,VILA VELHA,16,ES,"1501,1776",0,1499,19,"3597,02",,,
125,18688,GUANABARA PARQUE INDUSTRIAL,1977,IUNA,16,ES,"3056,9548",0,1476,19,"4240,55",,,
126,39,BELA VISTA,1912,CARIACICA,16,ES,"94035,6613","167,5",5,587,"187257,69",,,
127,1563,CIVIT II,2091,SERRA,16,ES,"137,04",0,1619,11,"1806,6",,,
129,1626,PRAIA DE ITAPARICA,2107,VILA VELHA,16,ES,"23,97991",0,1324,3,"52,79",,,
130,554,SANTA CRUZ,2100,VENDA NOVA IMIGRANTE,16,ES,"2823,5428",0,7,46,"16957,69",,,
131,1633,JARDIM MARILANDIA,2107,VILA VELHA,16,ES,"7014,3702","26,22",30,100,"70611,32",,,
132,1297,NOVA ROSA DA PENHA I,1912,CARIACICA,16,ES,"786,244",0,876,8,"1971,72",,,
134,1513,SERRA DOURADA II,2091,SERRA,16,ES,"206927,6229",5843,6,1132,"388160,18",,,
135,1505,JARDIM LIMOEIRO,2091,SERRA,16,ES,"2139,68",0,6,33,"12294,82",,,
138,1640,RIVIERA DA BARRA,2107,VILA VELHA,16,ES,"8233,029",0,26,287,"101537,6",,,
139,1262,BANDEIRANTES,1912,CARIACICA,16,ES,"116,174",0,1919,2,"943,24",,,
140,1346,JOSE DE ANCHIETA,2091,SERRA,16,ES,"10854,31333","309,99",1302,130,"38292,91",,,
141,4742,SAO DIOGO,2091,SERRA,16,ES,"36,568","49,68",1234,7,"174,24",,,
145,280,VILA NOVA,2107,VILA VELHA,16,ES,"1229,3293","653,4",870,39,"8411,06",,,
146,1346,JOSE DE ANCHIETA,2091,SERRA,16,ES,"2135,6317",0,1359,36,"9778,67",,,
147,1634,ATAIDE,2107,VILA VELHA,16,ES,"2651,53566","263,82",51,115,"19096,13",,,
150,1559,SAO MARCOS II,2091,SERRA,16,ES,"15025,2016","82,98",22,365,"82798,3",,,
151,18620,MARCILIO DE NORONHA,2101,VIANA,16,ES,"5807,80575","609,23",462,55,"11815,11",,,
152,1564,VISTA DA SERRA II,2091,SERRA,16,ES,"28,82","121,24",1227,8,"121,24",,,
153,1630,SOTECO,2107,VILA VELHA,16,ES,"657,6816",0,174,36,"6249,49",,,
155,1464,CARAPINA,2091,SERRA,16,ES,"1404,88",0,54,30,"15736,85",,,
157,18627,SEDE,1864,AFONSO CLAUDIO,16,ES,"54,73",0,1857,2,"550,3",,,
159,1700,GURIGICA,2111,VITORIA,16,ES,"407,23",0,427,18,"887,29",,,
160,1149,SEGATTO,1882,ARACRUZ,16,ES,"29225,71851",0,5,209,"93001,41",,,
161,1718,ILHA DE SANTA MARIA,2111,VITORIA,16,ES,"112650,476","11729,31",5,2468,"833226,32",,,
162,18628,VERANEIO,7002,NOVA VICOSA,6,BA,"2021,834",0,1738,21,"13869,77",,,
166,1433,ARACA,1991,LINHARES,16,ES,"5169,5398","2467,68",27,42,"16897,1",,,FREQUÊNCIA: Número de compras realizadas pelo cliente
168,182,SANTO ANTONIO,2043,RIO BANANAL,16,ES,"2794,126",0,29,93,"33382,74",,,
170,1,CENTRO,10077,SANTA MARIA DE JETIBA,16,ES,"29149,3692","614,57",5,169,"110707,49",,,
171,18627,SEDE,1933,ECOPORANGA,16,ES,"11778,6594",0,926,85,"45517,57",,,
172,1,CENTRO,2053,SANTA LEOPOLDINA,16,ES,"936,1962",0,974,20,"9730,82",,,
