IDCLI,CODBAI,NOMEBAI,CODCID,NOMECID,CODUF,UF,PESOBRUTO,DEVOLUCAO,RECENCIA,FREQUENCIA,MONETARY,,,
744,1639,COBILANDIA,2107,VILA VELHA,16,ES,"92821,05393","2908,32",44,396,"164172,84",,,
745,9322,IZABEL,1929,DOMINGOS MARTINS,16,ES,"7147,45945",0,5,92,"28150,18",,,
747,1,CENTRO,1991,LINHARES,16,ES,"850,5966",0,973,55,"7574,58",,,
749,4100,GRAMA,1864,AFONSO CLAUDIO,16,ES,"23826,79918","81,2",5,181,"52958,04",,,
750,4100,GRAMA,1864,AFONSO CLAUDIO,16,ES,"42012,61094",0,1070,60,"28226,89",,,
752,1151,JEQUITIBA,1882,ARACRUZ,16,ES,"697,13",0,432,8,"1499,29",,,
756,1618,CRISTOVAO COLOMBO,2107,VILA VELHA,16,ES,"11410,8998","183,84",6,479,"153892,96",,,
757,1,CENTRO,1982,JAGUARE,16,ES,"49996,28404","137,5",15,379,"158775,41",,,
759,1644,VILA BATISTA,2107,VILA VELHA,16,ES,"63,762",0,1706,5,"582,06",,,
760,4046,ZONA RURAL,5310,BONITO,10,PE,10615,0,14,73,"130115,84",,,
761,1,CENTRO,1931,DORES DO RIO PRETO,16,ES,"59121,06285","391,7",141,165,"140593,91",,,
762,18627,SEDE,467,BELMONTE,6,BA,"8487,6966",0,1294,45,"8713,75",,,
763,328,DINA BORGES,630,EUNAPOLIS,6,BA,"8036,496",0,65,64,"31372,54",,,
765,1634,ATAIDE,2107,VILA VELHA,16,ES,"466,25",0,1562,6,"913,4",,,
766,13346,ITAPARICA,2107,VILA VELHA,16,ES,"162,072",0,576,11,"1456,56",,,
767,1527,SAO PATRICIO,2091,SERRA,16,ES,"1466,3393","33,09",163,67,"12123,93",,,
769,1624,PRAIA DA COSTA,2107,VILA VELHA,16,ES,"23540,03601","990,61",1532,63,"81297,03",,,
770,1,CENTRO,2107,VILA VELHA,16,ES,"1986,9716",946,1073,33,"6607,42",,,
771,39,BELA VISTA,1882,ARACRUZ,16,ES,"214,2516",0,1092,9,"1837,89",,,
775,1684,ENSEADA DO SUA,2111,VITORIA,16,ES,"7096,6102",0,1526,34,"15402,79",,,
776,399,FATIMA,1882,ARACRUZ,16,ES,359,0,35,7,"2303,6",,,
777,1563,CIVIT II,2091,SERRA,16,ES,"16600,79",0,5,121,"74731,91",,,
780,1622,VALE ENCANTADO,2107,VILA VELHA,16,ES,"704,23",0,1702,19,"6581,75",,,
784,10312,SAO RAFAEL,2100,VENDA NOVA IMIGRANTE,16,ES,"132207,036","3090,78",96,537,"254372,82",,,
814,1606,BOA VISTA I,2107,VILA VELHA,16,ES,"3923,85223",0,653,55,"7856,46",,,
815,18846,VILA JETIBA ,10077,SANTA MARIA DE JETIBA,16,ES,"228,56",0,1892,2,"1903,25",,,
817,18659,RUBIA,2011,NOVA VENECIA,16,ES,"5254,393","246,64",9,165,"37446,71",,,
819,1505,JARDIM LIMOEIRO,2091,SERRA,16,ES,"642,1176","163,92",35,43,"5535,74",,,
822,18704,IRMAOS FERNANDES,1905,BARRA SAO FRANCISCO,16,ES,"38387,57626","755,79",9,251,"130751,12",,,
825,182,SANTO ANTONIO,2043,RIO BANANAL,16,ES,"13160,3049",1885,51,195,"90627,04",,,
831,18749,BARRA DO ITAPEMIRIM,1994,MARATAIZES,16,ES,"476,82",0,1759,21,"4301,06",,,
836,1568,PLANALTO SERRANO BLOCO A,2091,SERRA,16,ES,"4292,42598",0,587,34,"6395,13",,,
839,18843,CARIBE ITABATA,904,MUCURI,6,BA,"25503,01805","158,23",6,117,"22315,65",,,
840,1630,SOTECO,2107,VILA VELHA,16,ES,"73,76",0,1891,2,"386,68",,,
844,1696,PRAIA DO CANTO,2111,VITORIA,16,ES,"7820,24",0,1485,12,"4734,2",,,
846,1692,JESUS DE NAZARETH,2111,VITORIA,16,ES,"460,03",0,19,38,"4191,4",,,
848,1,CENTRO,1876,ANCHIETA,16,ES,"9025,76323","509,2",7,246,"46744,03",,,
850,18741,FREI CALIXTO,994,PORTO SEGURO,6,BA,"11930,4745","1757,01",201,32,"14253,97",,,
855,1,CENTRO,2031,PONTO BELO,16,ES,"11894,04272",0,14,183,"75277,08",,,
865,18856,SAO JOSE DE FRUTEIRAS,2098,VARGEM ALTA,16,ES,"71665,78449","58,24",37,395,"121616,58",,,
867,1,CENTRO,1985,JOAO NEIVA,16,ES,"3968,123",0,194,102,"34812,7",,,
869,18654,NOVA CARAIVA,994,PORTO SEGURO,6,BA,"21815,99364","1959,08",85,71,"40850,58",,,
870,18655,VILA REAL SEDE,1996,MARILANDIA,16,ES,"370,5",0,1514,6,"2040,17",,,
871,1706,SOLON BORGES,2111,VITORIA,16,ES,"671,448",0,616,26,"5976,54",,,
874,1,CENTRO,2031,PONTO BELO,16,ES,"11420,73598",0,127,115,"34497,59",,,
875,18656,PREFEITO RAUL GIUBERTI,1915,COLATINA,16,ES,"4277,2118",0,294,94,"59255,75",,,
876,554,SANTA CRUZ,1991,LINHARES,16,ES,"12497,8082",0,15,86,"16568,98",,,
878,1537,NOVA CARAPINA I,2091,SERRA,16,ES,"1109,9675",0,653,22,"4789,46",,,
881,3886,PENHA,2059,SANTA TERESA,16,ES,"1942,786",0,147,51,"21315,2",,,
891,1595,ALTEROSAS,2091,SERRA,16,ES,"29510,31555","300,21",22,249,"61467,37",,,DEVOLUCAO: Indicador de valor de devolução das compras
894,18832,CHAPADA GRANDE,2091,SERRA,16,ES,"1714,0427",0,36,38,"18769,27",,,
930,753,SAO BENTO,2088,SAO ROQUE DO CANAA,16,ES,"35,73",0,1514,3,"327,68",,,
931,1475,GURIRI SUL,2083,SAO MATEUS,16,ES,"1848,5832",0,5,62,"21905,24",,,
933,39,BELA VISTA,1882,ARACRUZ,16,ES,"562,602",0,1734,3,2301,,,
937,1707,TABUAZEIRO,2111,VITORIA,16,ES,"407,1852",0,1078,20,"3702,6",,,
939,4046,ZONA RURAL,1959,IRUPI,16,ES,191,0,1693,3,"1185,74",,,
942,1370,ESPLANADA,1913,CASTELO,16,ES,"967,75",0,1741,15,"6893,46",,,
950,1522,DE FATIMA,2091,SERRA,16,ES,0,0,133,33,68000,,,
953,1,CENTRO,2091,SERRA,16,ES,"464,2315",0,1076,6,"1344,16",,,
964,1689,VILA RUBIM,2111,VITORIA,16,ES,"1055,16",0,1842,8,"1472,67",,,
987,1505,JARDIM LIMOEIRO,2091,SERRA,16,ES,"332,0088",0,538,107,"3048,84",,,
998,159,CIDADE NOVA,1994,MARATAIZES,16,ES,"17189,5539","2776,88",12,381,"140512,53",,,
