IDCLI,CODBAI,NOMEBAI,CODCID,NOMECID,CODUF,UF,PESOBRUTO,DEVOLUCAO,RECENCIA,FREQUENCIA,MONETARY
64,1640,RIVIERA DA BARRA,2107,VILA VELHA,16,ES,245,"R$ 0,00",1848,4,"R$ 2.082,96"
65,1344,SAO SILVANO,1915,COLATINA,16,ES,126052,"R$ 644,40",5,420,"R$ 215.889,37"
67,280,VILA NOVA,1912,CARIACICA,16,ES,40722,"R$ 882,25",5,308,"R$ 89.012,77"
68,1,CENTRO,6990,CAMPOS DOS GOYTACAZES,7,RJ,18536,"R$ 1.509,42",21,319,"R$ 206.759,13"
69,1675,BARRAMARES,2107,VILA VELHA,16,ES,1123,"R$ 0,00",169,15,"R$ 1.768,34"
71,16629,VILA ARAGUAIA,1995,MARECHAL FLORIANO,16,ES,21393,"R$ 300,88",19,477,"R$ 225.266,17"
73,308,NOVA BRASILIA,1912,CARIACICA,16,ES,7924,"R$ 628,15",14,424,"R$ 69.018,44"
76,1694,JARDIM DA PENHA,2111,VITORIA,16,ES,1555,"R$ 0,00",141,17,"R$ 13.140,65"
77,1,CENTRO,1901,BREJETUBA,16,ES,232173,"R$ 0,00",1,706,"R$ 437.730,26"
78,1,CENTRO,7122,PINHEIRAL,7,RJ,772,"R$ 0,00",566,8,"R$ 9.166,78"
79,18835,PQE VICENTE G DIAS ,6990,CAMPOS DOS GOYTACAZES,7,RJ,1423,"R$ 947,10",112,59,"R$ 17.522,26"
81,280,VILA NOVA,2059,SANTA TERESA,16,ES,7515,"R$ 0,00",278,116,"R$ 45.641,16"
82,1694,JARDIM DA PENHA,2111,VITORIA,16,ES,429,"R$ 0,00",1455,24,"R$ 2.338,32"
83,1578,VILA NOVA DE COLARES,2091,SERRA,16,ES,3116,"R$ 0,00",15,120,"R$ 24.345,36"
84,1252,VILA CAPIXABA,1912,CARIACICA,16,ES,26298,"R$ 1.655,23",5,337,"R$ 88.157,02"
85,5561,JARDIM ITAPUA,2107,VILA VELHA,16,ES,11575,"R$ 21,80",30,122,"R$ 38.408,24"
87,1,CENTRO,1905,BARRA SAO FRANCISCO,16,ES,160813,"R$ 3.569,70",9,471,"R$ 253.499,22"
88,1624,PRAIA DA COSTA,2107,VILA VELHA,16,ES,5083,"R$ 0,00",1063,57,"R$ 12.344,30"
89,1,CENTRO,10077,SANTA MARIA DE JETIBA,16,ES,22384,"R$ 231,78",37,263,"R$ 221.135,69"
90,1675,BARRAMARES,2107,VILA VELHA,16,ES,1206,"R$ 0,00",419,37,"R$ 5.077,43"
91,1578,VILA NOVA DE COLARES,2091,SERRA,16,ES,1006,"R$ 14,40",1440,42,"R$ 4.287,08"
92,1258,PORTO DE SANTANA,1912,CARIACICA,16,ES,94936,"R$ 197,53",6,406,"R$ 168.808,29"
94,1630,SOTECO,2107,VILA VELHA,16,ES,34449,"R$ 130,20",5,135,"R$ 40.267,06"
95,660,IPIRANGA,1947,GUARAPARI,16,ES,3859,"R$ 0,00",1412,43,"R$ 13.658,44"
99,1505,JARDIM LIMOEIRO,2091,SERRA,16,ES,399,"R$ 0,00",1199,21,"R$ 4.295,64"
102,1634,ATAIDE,2107,VILA VELHA,16,ES,13590,"R$ 771,06",8,367,"R$ 81.310,32"
103,182,SANTO ANTONIO,2111,VITORIA,16,ES,14873,"R$ 108,91",5,404,"R$ 105.149,33"
104,1644,VILA BATISTA,2107,VILA VELHA,16,ES,141978,"R$ 7.893,72",7,512,"R$ 252.958,57"
105,1629,GUARANHUNS,2107,VILA VELHA,16,ES,11477,"R$ 0,00",685,57,"R$ 16.126,04"
106,18623,BACAXA,7191,SAQUAREMA,7,RJ,4058,"R$ 0,00",22,100,"R$ 51.527,69"
107,1,CENTRO,1904,CACHOEIRO DE ITAPEMIRIM,16,ES,1407,"R$ 0,00",7,59,"R$ 11.941,12"
109,1510,FEU ROSA,2091,SERRA,16,ES,11709,"R$ 1.081,92",35,250,"R$ 59.171,50"
110,557,CAMPO GRANDE,1912,CARIACICA,16,ES,8044,"R$ 122,56",5,163,"R$ 27.880,76"
111,1346,JOSE DE ANCHIETA,2091,SERRA,16,ES,17711,"R$ 276,06",1008,186,"R$ 63.409,58"
112,1,CENTRO,2098,VARGEM ALTA,16,ES,14098,"R$ 0,00",68,117,"R$ 62.489,21"
113,1630,SOTECO,2107,VILA VELHA,16,ES,6480,"R$ 578,26",20,208,"R$ 45.750,04"
114,1620,PONTA DA FRUTA,2107,VILA VELHA,16,ES,93444,"R$ 3.773,97",5,769,"R$ 226.909,98"
115,882,COQUEIRAL,1882,ARACRUZ,16,ES,60528,"R$ 398,60",48,239,"R$ 151.441,66"
116,1618,CRISTOVAO COLOMBO,2107,VILA VELHA,16,ES,29,"R$ 0,00",1818,3,"R$ 122,40"
117,308,NOVA BRASILIA,1904,CACHOEIRO DE ITAPEMIRIM,16,ES,265250,"R$ 685,83",7,840,"R$ 439.984,16"
118,1675,BARRAMARES,2107,VILA VELHA,16,ES,3164,"R$ 1.516,85",1048,52,"R$ 11.781,22"
119,7320,JARDIM ALAH,1912,CARIACICA,16,ES,100474,"R$ 4.519,55",7,559,"R$ 245.291,74"
120,1575,MATA DA SERRA,2091,SERRA,16,ES,11549,"R$ 0,00",14,154,"R$ 40.225,61"
122,1686,GRANDE VITORIA,2111,VITORIA,16,ES,9732,"R$ 0,00",7,110,"R$ 33.849,94"
123,1731,NOVA PALESTINA,2111,VITORIA,16,ES,1100,"R$ 0,00",1114,18,"R$ 6.470,36"
124,13346,ITAPARICA,2107,VILA VELHA,16,ES,1501,"R$ 0,00",1499,19,"R$ 3.597,02"
125,18688,GUANABARA PARQUE INDUSTRIAL,1977,IUNA,16,ES,3057,"R$ 0,00",1476,19,"R$ 4.240,55"
126,39,BELA VISTA,1912,CARIACICA,16,ES,94036,"R$ 167,50",5,587,"R$ 187.257,69"
127,1563,CIVIT II,2091,SERRA,16,ES,137,"R$ 0,00",1619,11,"R$ 1.806,60"
129,1626,PRAIA DE ITAPARICA,2107,VILA VELHA,16,ES,24,"R$ 0,00",1324,3,"R$ 52,79"
130,554,SANTA CRUZ,2100,VENDA NOVA IMIGRANTE,16,ES,2824,"R$ 0,00",7,46,"R$ 16.957,69"
131,1633,JARDIM MARILANDIA,2107,VILA VELHA,16,ES,7014,"R$ 26,22",30,100,"R$ 70.611,32"
132,1297,NOVA ROSA DA PENHA I,1912,CARIACICA,16,ES,786,"R$ 0,00",876,8,"R$ 1.971,72"
134,1513,SERRA DOURADA II,2091,SERRA,16,ES,206928,"R$ 5.843,00",6,1132,"R$ 388.160,18"
135,1505,JARDIM LIMOEIRO,2091,SERRA,16,ES,2140,"R$ 0,00",6,33,"R$ 12.294,82"
138,1640,RIVIERA DA BARRA,2107,VILA VELHA,16,ES,8233,"R$ 0,00",26,287,"R$ 101.537,60"
139,1262,BANDEIRANTES,1912,CARIACICA,16,ES,116,"R$ 0,00",1919,2,"R$ 943,24"
140,1346,JOSE DE ANCHIETA,2091,SERRA,16,ES,10854,"R$ 309,99",1302,130,"R$ 38.292,91"
141,4742,SAO DIOGO,2091,SERRA,16,ES,37,"R$ 49,68",1234,7,"R$ 174,24"
145,280,VILA NOVA,2107,VILA VELHA,16,ES,1229,"R$ 653,40",870,39,"R$ 8.411,06"
146,1346,JOSE DE ANCHIETA,2091,SERRA,16,ES,2136,"R$ 0,00",1359,36,"R$ 9.778,67"
147,1634,ATAIDE,2107,VILA VELHA,16,ES,2652,"R$ 263,82",51,115,"R$ 19.096,13"
150,1559,SAO MARCOS II,2091,SERRA,16,ES,15025,"R$ 82,98",22,365,"R$ 82.798,30"
151,18620,MARCILIO DE NORONHA,2101,VIANA,16,ES,5808,"R$ 609,23",462,55,"R$ 11.815,11"
152,1564,VISTA DA SERRA II,2091,SERRA,16,ES,29,"R$ 121,24",1227,8,"R$ 121,24"
153,1630,SOTECO,2107,VILA VELHA,16,ES,658,"R$ 0,00",174,36,"R$ 6.249,49"
155,1464,CARAPINA,2091,SERRA,16,ES,1405,"R$ 0,00",54,30,"R$ 15.736,85"
157,18627,SEDE,1864,AFONSO CLAUDIO,16,ES,55,"R$ 0,00",1857,2,"R$ 550,30"
159,1700,GURIGICA,2111,VITORIA,16,ES,407,"R$ 0,00",427,18,"R$ 887,29"
160,1149,SEGATTO,1882,ARACRUZ,16,ES,29226,"R$ 0,00",5,209,"R$ 93.001,41"
161,1718,ILHA DE SANTA MARIA,2111,VITORIA,16,ES,112650,"R$ 11.729,31",5,2468,"R$ 833.226,32"
162,18628,VERANEIO,7002,NOVA VICOSA,6,BA,2022,"R$ 0,00",1738,21,"R$ 13.869,77"
166,1433,ARACA,1991,LINHARES,16,ES,5170,"R$ 2.467,68",27,42,"R$ 16.897,10"
168,182,SANTO ANTONIO,2043,RIO BANANAL,16,ES,2794,"R$ 0,00",29,93,"R$ 33.382,74"
170,1,CENTRO,10077,SANTA MARIA DE JETIBA,16,ES,29149,"R$ 614,57",5,169,"R$ 110.707,49"
171,18627,SEDE,1933,ECOPORANGA,16,ES,11779,"R$ 0,00",926,85,"R$ 45.517,57"
172,1,CENTRO,2053,SANTA LEOPOLDINA,16,ES,936,"R$ 0,00",974,20,"R$ 9.730,82"
173,1703,JOANA DARC,2111,VITORIA,16,ES,14967,"R$ 0,00",1051,19,"R$ 9.854,16"
174,1149,SEGATTO,1882,ARACRUZ,16,ES,51473,"R$ 6.116,50",5,848,"R$ 561.309,78"
176,1684,ENSEADA DO SUA,2111,VITORIA,16,ES,6258,"R$ 0,00",61,106,"R$ 52.071,56"
179,170,GLORIA,2107,VILA VELHA,16,ES,111210,"R$ 2.748,05",14,981,"R$ 253.020,58"
180,182,SANTO ANTONIO,2043,RIO BANANAL,16,ES,17035,"R$ 0,00",57,113,"R$ 53.921,92"
181,1684,ENSEADA DO SUA,2111,VITORIA,16,ES,4,"R$ 0,00",1573,3,"R$ 25,00"
182,1641,VILA GARRIDO,2107,VILA VELHA,16,ES,21700,"R$ 501,99",7,150,"R$ 43.889,64"
183,1252,VILA CAPIXABA,1912,CARIACICA,16,ES,297,"R$ 0,00",1496,13,"R$ 2.259,84"
184,1545,VISTA DA SERRA I,2091,SERRA,16,ES,5009,"R$ 0,00",37,86,"R$ 32.362,96"
